Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-07-20,Rait Ots,TLVK,Recurve,Adult,Men,70m,122cm,262,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaan Rösler,VVVK,Barebow,Adult,Men,50m,122cm,262,Eesti Meistrivõistlused OR 2025
2025-07-20,Marielle Laasma,PVM,Recurve,Adult,Women,70m,122cm,260,Eesti Meistrivõistlused OR 2025
2025-07-20,Lisette Gold,JVI,Recurve,Adult,Women,70m,122cm,260,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaanika Rösler,VVVK,Recurve,Adult,Women,70m,122cm,259,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaan Rösler,VVVK,Barebow,Adult,Men,50m,122cm,259,Eesti Meistrivõistlused OR 2025
2025-07-20,Janek Tolberg,VVVK,Recurve,Adult,Men,70m,122cm,258,Eesti Meistrivõistlused OR 2025
2025-07-20,Marten Mäger,PVM,Recurve,Adult,Men,70m,122cm,258,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaanika Rösler,VVVK,Recurve,Adult,Women,70m,122cm,258,Eesti Meistrivõistlused OR 2025
2025-07-20,Birgit Metsjõe,VVVK,Recurve,Adult,Women,70m,122cm,257,Eesti Meistrivõistlused OR 2025
2025-07-20,Lisette Marie Gold,JVI,Recurve,Adult,Women,70m,122cm,257,Eesti Meistrivõistlused OR 2025
2025-07-20,Heleri Nõmm,TVSK,Recurve,Adult,Women,70m,122cm,257,Eesti Meistrivõistlused OR 2025
2025-07-20,Tarvet Labi,VVVK,Recurve,Adult,Men,70m,122cm,256,Eesti Meistrivõistlused OR 2025
2025-07-20,Heleri Nõmm,TVSK,Recurve,Adult,Women,70m,122cm,256,Eesti Meistrivõistlused OR 2025
2025-07-20,Andrey Gerassimov,SAG,Recurve,+50,Men,60m,122cm,256,Eesti Meistrivõistlused OR 2025
2025-07-20,Paul Villemi,SAG,Barebow,Adult,Men,50m,122cm,256,Eesti Meistrivõistlused OR 2025
2025-07-20,Krista Hein,SAG,Barebow,Adult,Women,50m,122cm,256,Eesti Meistrivõistlused OR 2025
2025-07-20,Mirel Missik,VVVK,Recurve,Adult,Women,70m,122cm,255,Eesti Meistrivõistlused OR 2025
2025-07-20,Priit Pramann,VVVK,Recurve,+50,Men,60m,122cm,255,Eesti Meistrivõistlused OR 2025
2025-07-20,Priit Pramann,VVVK,Recurve,+50,Men,60m,122cm,255,Eesti Meistrivõistlused OR 2025
2025-07-20,Raoul Johanson,PVM,Recurve,+60,Men,60m,122cm,255,Eesti Meistrivõistlused OR 2025
2025-07-20,Are Lember,VVVK,Recurve,Adult,Men,70m,122cm,254,Eesti Meistrivõistlused OR 2025
2025-07-20,Tessa Tammik,JVI,Recurve,Adult,Women,70m,122cm,253,Eesti Meistrivõistlused OR 2025
2025-07-20,Janek Tolberg,VVVK,Recurve,Adult,Men,70m,122cm,252,Eesti Meistrivõistlused OR 2025
2025-07-20,Tiit Heinsalu,SJK,Recurve,+60,Men,60m,122cm,252,Eesti Meistrivõistlused OR 2025
2025-07-20,Andres Sarapuu,VVVK,Recurve,Adult,Men,70m,122cm,251,Eesti Meistrivõistlused OR 2025
2025-07-20,Priidu Paomets,KSK,Barebow,Adult,Men,50m,122cm,251,Eesti Meistrivõistlused OR 2025
2025-07-20,Johanna Jõe,SAG,Recurve,Adult,Women,70m,122cm,249,Eesti Meistrivõistlused OR 2025
2025-07-20,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,70m,122cm,249,Eesti Meistrivõistlused OR 2025
2025-07-20,Aivo Agu,JVI,Recurve,Adult,Men,70m,122cm,248,Eesti Meistrivõistlused OR 2025
2025-07-20,Mirel Missik,VVVK,Recurve,Adult,Women,70m,122cm,246,Eesti Meistrivõistlused OR 2025
2025-07-20,Gert Soe,VVVK,Compound,Adult,Men,50m,80cm,246,Eesti Meistrivõistlused OR 2025
2025-07-20,Mikk Mihkelson,JVI,Recurve,Adult,Men,70m,122cm,245,Eesti Meistrivõistlused OR 2025
2025-07-20,Emili Hanni,SAG,Recurve,Adult,Women,70m,122cm,244,Eesti Meistrivõistlused OR 2025
2025-07-20,Gert Soe,VVVK,Compound,Adult,Men,50m,80cm,244,Eesti Meistrivõistlused OR 2025
2025-07-20,Eve Kivilo,JVI,Recurve,+60,Women,60m,122cm,243,Eesti Meistrivõistlused OR 2025
2025-07-20,Pilleriin Järve,KSK,Longbow,+50,Women,30m,80cm,243,Eesti Meistrivõistlused OR 2025
2025-07-20,Emili Hanni,SAG,Recurve,Adult,Women,70m,122cm,242,Eesti Meistrivõistlused OR 2025
2025-07-20,Paul Villemi,SAG,Barebow,Adult,Men,50m,122cm,242,Eesti Meistrivõistlused OR 2025
2025-07-20,Eve Kivilo,JVI,Recurve,+60,Women,60m,122cm,240,Eesti Meistrivõistlused OR 2025
2025-07-20,Ingrid Ritval,VVVK,Recurve,Adult,Women,70m,122cm,235,Eesti Meistrivõistlused OR 2025
2025-07-20,Marten Mäger,PVM,Recurve,Adult,Men,70m,122cm,234,Eesti Meistrivõistlused OR 2025
2025-07-20,Pilleriin Järve,KSK,Longbow,+50,Women,30m,80cm,234,Eesti Meistrivõistlused OR 2025
2025-07-20,Kaja Loot,SVK,Longbow,+50,Women,30m,80cm,233,Eesti Meistrivõistlused OR 2025
2025-07-20,Priidu Paomets,KSK,Barebow,Adult,Men,50m,122cm,231,Eesti Meistrivõistlused OR 2025
