Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Eve Kivilo,JVI,Recurve,+60,Women,30m,80cm,313,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Martin Rist,VVVK,Recurve,Adult,Men,70m,122cm,312,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ander Sepp,TVSK,Recurve,Adult,Men,30m,80cm,312,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marielle Laasma,PVM,Recurve,Adult,Women,30m,80cm,312,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Tanvel,TLVK,Recurve,Adult,Men,70m,122cm,311,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Emma Kask,TVSK,Recurve,Adult,Women,50m,80cm,311,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tanel Kaasik,TLVK,Recurve,+50,Men,60m,122cm,311,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aivar Pruuli,BH,Compound,Adult,Men,90m,80cm,311,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Martin Rist,VVVK,Recurve,Adult,Men,50m,80cm,309,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Rait Ots,TLVK,Recurve,Adult,Men,30m,80cm,308,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Emma Kask,TVSK,Recurve,Adult,Women,70m,122cm,308,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Birgit Metsjõe,VVVK,Recurve,Adult,Women,60m,122cm,305,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Leho Sillat,SVK,Longbow,Adult,Men,70m+60m,122cm,304,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Patrick Järve,VVVK,Recurve,Adult,Men,30m,80cm,303,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mirel Missik,VVVK,Recurve,Adult,Women,30m,80cm,303,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Raoul Johanson,PVM,Recurve,+60,Men,30m,80cm,303,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Taavo Allik,VVVK,Recurve,Adult,Men,70m,122cm,302,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Birgit Metsjõe,VVVK,Recurve,Adult,Women,70m,122cm,302,Eesti Meistrivõistlused 2025 harjutuses 1440
