Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-16,Karoli Luige,NS,Recurve,Adult,Women,2x70m,122cm,585,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Bronek Ibrus,VVVK,Recurve,U15,Men,2x30m,80cm,583,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,2x30m,80cm,582,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jaan Allik,VVVK,Recurve,U15,Men,2x30m,80cm,579,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Ingrid Ritval,VVVK,Recurve,U18,Women,2x60m,122cm,569,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,2x60m,122cm,565,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Tarvet Labi,VVVK,Recurve,U21,Men,2x70m,122cm,557,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Ingrid Ritval,VVVK,Recurve,U18,Women,2x60m,122cm,557,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lisete Lepik,VVVK,Recurve,U18,Women,2x60m,122cm,557,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eimar Kukk,PVM,Recurve,Adult,Men,2x70m,122cm,551,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eimar Kukk,PVM,Recurve,Adult,Men,2x70m,122cm,550,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jaan Allik,VVVK,Recurve,U15,Men,2x30m,80cm,549,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Albert Ild,JVI,Recurve,U13,Men,2x15m,80cm,547,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Egert Pähkel,PVM,Recurve,U18,Men,2x60m,122cm,546,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Tarvet Labi,VVVK,Recurve,U21,Men,2x70m,122cm,540,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lisete Lepik,VVVK,Recurve,U18,Women,2x60m,122cm,540,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Egert Pähkel,PVM,Recurve,U18,Men,2x60m,122cm,539,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marielle Laasma,PVM,Recurve,Adult,Women,2x70m,122cm,536,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Andres Sarapuu,VVVK,Recurve,U21,Men,2x70m,122cm,536,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,535,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Karoliina Haukanõmm,VVVK,Recurve,U15,Women,2x30m,80cm,533,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marielle Laasma,PVM,Recurve,Adult,Women,2x70m,122cm,532,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,528,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Märt Labi,VVVK,Recurve,U18,Men,2x60m,122cm,528,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gert Soe,VVVK,Compound,U18,Men,2x50m,80cm,528,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mariann Miller,VVK,Longbow,U13,Women,2x15m,80cm,527,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marten Mäger,PVM,Recurve,U18,Men,2x60m,122cm,525,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Märt Labi,VVVK,Recurve,U18,Men,2x60m,122cm,521,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Karoliina Haukanõmm,VVVK,Recurve,U15,Women,2x30m,80cm,521,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mirel Missik,VVVK,Recurve,U21,Women,2x70m,122cm,520,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Bronek Ibrus,VVVK,Recurve,U15,Men,2x30m,80cm,519,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Karoli Luige,NS,Recurve,Adult,Women,2x70m,122cm,518,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marten Mäger,PVM,Recurve,U18,Men,2x60m,122cm,514,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Andres Sarapuu,VVVK,Recurve,U21,Men,2x70m,122cm,504,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Kristiina Koppel,VVVK,Barebow,U13,Women,2x15m,122cm,497,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jürgen Ellam,JVI,Barebow,U18,Men,2x30m,122cm,491,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mariann Miller,VVK,Longbow,U13,Women,2x15m,80cm,491,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mirel Missik,VVVK,Recurve,U21,Women,2x70m,122cm,484,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raoul Johanson,PVM,Recurve,+50,Men,2x60m,122cm,475,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Patrick Järve,VVVK,Recurve,U21,Men,2x70m,122cm,474,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Patrick Järve,VVVK,Recurve,U21,Men,2x70m,122cm,474,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Kristiina Koppel,VVVK,Barebow,U13,Women,2x15m,122cm,467,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raoul Johanson,PVM,Recurve,+50,Men,2x60m,122cm,463,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jürgen Ellam,JVI,Barebow,U18,Men,2x30m,122cm,456,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gert Soe,VVVK,Compound,U18,Men,2x50m,80cm,406,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Keira Tenno,VVVK,Compound,U18,Women,2x50m,80cm,405,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Rõigas,VVVK,Recurve,Adult,Women,2x70m,122cm,404,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,2x70m,122cm,397,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Keira Tenno,VVVK,Compound,U18,Women,2x50m,80cm,380,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,2x70m,122cm,378,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Rõigas,VVVK,Recurve,Adult,Women,2x70m,122cm,367,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lovisa Lember,VVVK,Recurve,U13,Women,15m,80cm,353,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Maris Tetsmann,TYRI,Compound,Adult,Women,50m,80cm,349,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Kirke Sarapu,PVM,Recurve,U18,Women,2x60m,122cm,346,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,346,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lovisa Lember,VVVK,Recurve,U13,Women,15m,80cm,345,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lovisa Lember,VVVK,Recurve,U13,Women,15m,80cm,345,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,343,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Maris Tetsmann,TYRI,Compound,Adult,Women,50m,80cm,343,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,342,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Maris Tetsmann,TYRI,Compound,Adult,Women,50m,80cm,342,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lovisa Lember,VVVK,Recurve,U13,Women,15m,80cm,341,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Maris Tetsmann,TYRI,Compound,Adult,Women,50m,80cm,340,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,339,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,50m,80cm,339,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,50m,80cm,339,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,336,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,50m,80cm,336,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Kirke Sarapu,PVM,Recurve,U18,Women,2x60m,122cm,334,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,333,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,333,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,15m,80cm,332,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,50m,80cm,331,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,50m,80cm,330,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,60m,122cm,329,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,50m,80cm,328,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,50m,80cm,327,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,50m,80cm,327,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,60m,122cm,324,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,60m,122cm,324,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,324,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,15m,80cm,324,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,15m,80cm,323,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,15m,80cm,323,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,50m,80cm,323,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,322,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,15m,80cm,321,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,321,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,50m,80cm,320,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,50m,80cm,320,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,319,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,319,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,15m,80cm,316,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,315,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,50m,80cm,315,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Albert Albus Ild,JVI,Recurve,U13,Men,15m,80cm,313,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,312,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,50m,80cm,312,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,30m,80cm,311,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,50m,80cm,309,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Karoli Luige,NS,Recurve,Adult,Women,70m,122cm,307,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,30m,80cm,307,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,30m,80cm,306,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,15m,80cm,306,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Albert Ild,JVI,Recurve,U13,Men,15m,80cm,305,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,303,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,60m,122cm,303,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,50m,80cm,303,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,60m,122cm,302,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,301,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,30m,80cm,300,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,15m,80cm,300,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,30m,80cm,298,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,30m,80cm,295,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Bronek Ibrus,VVVK,Recurve,U15,Men,30m,80cm,295,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,30m,80cm,294,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,60m,122cm,293,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,50m,80cm,293,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jaan Allik,VVVK,Recurve,U15,Men,30m,80cm,291,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,30m,80cm,291,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,30m,80cm,291,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Ingrid Annelore Ritval,VVVK,Recurve,U18,Women,60m,122cm,290,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Lisete Lepik,VVVK,Recurve,U18,Women,60m,122cm,288,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,30m,80cm,288,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jaan Jarek Allik,VVVK,Recurve,U15,Men,30m,80cm,288,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Bronek Ibrus,VVVK,Recurve,U15,Men,30m,80cm,288,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,30m,80cm,288,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,60m,122cm,287,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Ingrid Ritval,VVVK,Recurve,U18,Women,60m,122cm,283,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Albert Ild,JVI,Recurve,U13,Men,15m,80cm,281,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Jaan Allik,VVVK,Recurve,U15,Men,30m,80cm,280,XV Aksel Randmeri Memoriaal 2025
